fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_18_piffif_Pre_7	I	234	400	2217	2990	4299	4	14	16	18
subj_18_tissif_21_Post	I	255	286	2501	3104	3704	3	14	16	17
subj_18_tissif_25_Post	I	266	279	2514	3032	3695	3	14	16	17
subj_18_tissif_6_Post	I	336	345	2219	2939	3797	4	14	15	17
subj_18_tissif_AF2_23	I	233	297	2574	3071	4304	3	15	16	18
subj_18_tissif_AF2_26	I	322	327	2387	2989	3732	3	14	16	17
subj_18_tissif_AF2_5	I	303	309	2407	2961	3882	3	14	16	17
subj_18_tissif_MN1_13	I	275	556	2064	2947	3564	5	13	16	17
subj_18_tissif_MN1_17	I	332	335	2334	2999	3806	3	14	16	17
subj_18_tissif_MN1_51	I	357	361	2373	2821	3521	4	14	15	17
subj_18_tissif_Pre_33	I	230	325	2353	2927	3931	3	14	15	17
subj_18_tissif_Pre_42	I	264	305	2393	2921	3741	3	14	15	17
subj_18_tissif_Pre_47	I	233	313	2564	3182	3812	3	15	16	17
subj_19_kiggif_19_Post	I	242	457	2355	3185	4015	5	14	16	18
subj_19_kiggif_38_Post	I	226	401	2271	3080	4141	4	14	16	18
subj_19_kiggif_52_Post	I	211	430	2130	3288	3742	4	13	16	17
subj_19_kiggif_AF2_29	I	237	450	1183	2682	4123	5	10	15	18
subj_19_kiggif_AF2_6	I	255	494	1517	2766	3778	5	11	15	17
subj_19_kiggif_AF2_8	I	239	447	1457	2735	3818	4	11	15	17
subj_19_kiggif_MN1_37	I	300	598	1502	2608	3404	6	11	15	17
subj_19_kiggif_MN1_7	I	275	550	1642	2483	3421	5	12	14	17
subj_19_kiggif_Pre_0	I	231	368	2389	3340	4072	4	14	16	18
subj_19_kiggif_Pre_10	I	229	425	2360	3151	4036	4	14	16	18
subj_19_kiggif_Pre_8	I	230	423	2426	3095	4224	4	14	16	18
subj_19_piffif_17_Post	I	233	430	2080	2778	3839	4	13	15	17
subj_19_piffif_36_Post	I	229	434	2044	2826	3364	4	13	15	16
subj_19_piffif_8_Post	I	222	427	2102	2907	3977	4	13	15	18
subj_19_piffif_AF2_23	I	252	497	1505	2469	3867	5	11	14	17
subj_19_piffif_AF2_35	I	234	438	1438	2458	3699	4	11	14	17
subj_19_piffif_AF2_41	I	253	498	1479	2547	3982	5	11	15	18
subj_19_piffif_MN1_22	I	264	539	1458	2504	3482	5	11	14	17
subj_19_piffif_MN1_24	I	268	569	1505	2423	3592	6	11	14	17
subj_19_piffif_MN1_43	I	279	582	1369	2497	3626	6	10	14	17
subj_19_piffif_Pre_21	I	227	427	2071	2799	3979	4	13	15	18
subj_19_piffif_Pre_32	I	223	423	2076	2808	3936	4	13	15	18
subj_19_piffif_Pre_6	I	234	429	2170	2576	3584	4	13	15	17
subj_19_tissif_1_Post	I	235	453	2121	2974	4028	5	13	16	18
subj_19_tissif_31_Post	I	221	423	2017	2963	4012	4	13	16	18
subj_19_tissif_6_Post	I	240	470	1988	2949	4091	5	13	16	18
subj_19_tissif_AF2_17	I	229	448	1417	2598	3703	5	11	15	17
subj_19_tissif_AF2_38	I	254	495	1490	2539	3815	5	11	15	17
subj_19_tissif_AF2_52	I	217	439	1498	2603	4006	4	11	15	18
subj_19_tissif_MN1_39	I	287	577	1431	2574	3439	6	11	15	17
subj_19_tissif_MN1_42	I	283	554	1391	2536	3611	5	11	14	17
subj_19_tissif_MN1_50	I	287	570	1532	2423	3385	6	11	14	16
subj_19_tissif_Pre_16	I	226	416	2040	2974	4052	4	13	16	18
subj_19_tissif_Pre_20	I	227	437	1999	2961	4103	4	13	16	18
subj_19_tissif_Pre_52	I	230	430	2035	3046	4266	4	13	16	18
subj_1_kiggif_28_Post	I	255	342	2488	3135	3959	4	14	16	18
subj_1_kiggif_35_Post	I	266	292	2400	2791	4003	3	14	15	18
subj_1_kiggif_48_Post	I	261	390	2344	2963	3912	4	14	16	17
subj_1_kiggif_AF2_33	I	266	302	2434	2906	3939	3	14	15	18
subj_1_kiggif_AF2_41	I	265	273	2756	3566	4061	3	15	17	18
subj_1_kiggif_AF2_42	I	269	271	2685	3456	4017	3	15	17	18
subj_1_kiggif_MN1_43	I	289	495	2273	2816	3553	5	14	15	17
subj_1_kiggif_MN1_52	I	274	510	2218	2768	3524	5	14	15	17
subj_1_kiggif_Pre_17	I	249	468	2436	2719	3988	5	14	15	18
subj_1_kiggif_Pre_3	I	256	360	2371	2700	3567	4	14	15	17
subj_1_kiggif_Pre_37	I	253	441	2424	2948	3919	4	14	16	17
subj_1_piffif_29_Post	I	267	425	2139	2917	4098	4	13	15	18
subj_1_piffif_34_Post	I	261	406	2061	2742	3823	4	13	15	17
subj_1_piffif_49_Post	I	253	439	1953	2599	3761	4	13	15	17
subj_1_piffif_AF2_40	I	261	335	1616	2594	3625	3	11	15	17
subj_1_piffif_AF2_5	I	250	403	1979	2787	3885	4	13	15	17
subj_1_piffif_AF2_7	I	256	469	1945	2690	3779	5	13	15	17
subj_1_piffif_MN1_30	I	283	577	1948	2735	3654	6	13	15	17
subj_1_piffif_MN1_38	I	272	545	1995	2735	3756	5	13	15	17
subj_1_piffif_MN1_6	I	273	521	1959	2684	3717	5	13	15	17
subj_1_piffif_Pre_11	I	252	479	1974	2580	3699	5	13	15	17
subj_1_piffif_Pre_25	I	252	476	2039	2689	3736	5	13	15	17
subj_1_piffif_Pre_35	I	246	492	1983	2705	3828	5	13	15	17
subj_1_tissif_13_Post	I	269	343	2150	2957	4018	4	13	16	18
subj_1_tissif_16_Post	I	267	347	2145	2934	4155	4	13	15	18
subj_1_tissif_2_Post	I	264	343	2150	2797	4050	4	13	15	18
subj_1_tissif_AF2_18	I	268	423	2157	2978	4345	4	13	16	18
subj_1_tissif_AF2_19	I	267	457	2105	2945	4129	5	13	16	18
subj_1_tissif_AF2_51	I	270	446	2187	2984	4169	4	13	16	18
subj_1_tissif_MN1_14	I	295	550	2028	2885	3667	5	13	15	17
subj_1_tissif_MN1_35	I	270	549	1948	2804	3622	5	13	15	17
subj_1_tissif_MN1_49	I	295	589	2051	2952	3870	6	13	16	17
subj_1_tissif_Pre_34	I	250	464	2071	2812	4042	5	13	15	18
subj_1_tissif_Pre_9	I	251	486	2049	2944	4337	5	13	16	18
subj_20_kiggif_40_Post	I	269	349	2389	3081	3956	4	14	16	18
subj_20_kiggif_48_Post	I	257	419	2323	3195	3985	4	14	16	18
subj_20_kiggif_8_Post	I	276	346	2324	3127	4172	4	14	16	18
subj_20_kiggif_AF2_12	I	259	415	2487	3058	4027	4	14	16	18
subj_20_kiggif_AF2_18	I	270	389	2413	2963	3895	4	14	16	17
subj_20_kiggif_AF2_42	I	234	459	2418	3062	4046	5	14	16	18
subj_20_kiggif_MN1_11	I	274	539	2267	2943	3810	5	14	16	17
subj_20_kiggif_MN1_12	I	255	496	2276	2958	3858	5	14	16	17
subj_20_kiggif_MN1_38	I	271	515	2358	2972	3861	5	14	16	17
subj_20_kiggif_Pre_28	I	243	467	2368	2832	3839	5	14	15	17
subj_20_kiggif_Pre_44	I	241	391	2482	2923	3809	4	14	15	17
subj_20_kiggif_Pre_7	I	261	348	2549	2829	3975	4	15	15	18
subj_20_piffif_33_Post	I	281	387	2233	3075	4008	4	14	16	18
subj_20_piffif_34_Post	I	263	456	2160	3062	4062	5	13	16	18
subj_20_piffif_35_Post	I	244	487	2213	2981	4054	5	14	16	18
subj_20_piffif_AF2_0	I	237	468	2267	3021	4040	5	14	16	18
subj_20_piffif_AF2_15	I	256	469	2290	3055	4118	5	14	16	18
subj_20_piffif_AF2_17	I	250	491	2250	2975	4010	5	14	16	18
subj_20_piffif_MN1_10	I	260	524	2228	3001	4081	5	14	16	18
subj_20_piffif_MN1_34	I	249	507	2207	2880	3989	5	14	15	18
subj_20_piffif_MN1_4	I	295	586	2261	2982	4049	6	14	16	18
subj_20_piffif_Pre_18	I	249	476	2221	2944	4118	5	14	16	18
subj_20_piffif_Pre_32	I	245	475	2168	2932	4070	5	13	15	18
subj_20_piffif_Pre_5	I	266	459	2192	2908	4013	5	14	15	18
subj_20_tissif_24_Post	I	158	379	2089	3057	4093	4	13	16	18
subj_20_tissif_3_Post	I	259	471	2258	3121	4188	5	14	16	18
subj_20_tissif_47_Post	I	290	376	2249	3155	4215	4	14	16	18
subj_20_tissif_AF2_26	I	257	465	2179	3058	4185	5	13	16	18
subj_20_tissif_AF2_5	I	249	478	2227	3040	4186	5	14	16	18
subj_20_tissif_AF2_53	I	253	495	2209	3110	4049	5	14	16	18
subj_20_tissif_MN1_14	I	234	480	2092	2814	4057	5	13	15	18
subj_20_tissif_MN1_18	I	251	506	2178	2964	4167	5	13	16	18
subj_20_tissif_MN1_50	I	263	525	2124	3063	4054	5	13	16	18
subj_20_tissif_Pre_14	I	241	464	2252	3036	4238	5	14	16	18
subj_20_tissif_Pre_21	I	250	481	2200	2972	4123	5	14	16	18
subj_20_tissif_Pre_43	I	254	440	2224	3040	4130	4	14	16	18
subj_21_kiggif_27_Post	I	259	436	2142	2824	3782	4	13	15	17
subj_21_kiggif_29_Post	I	308	348	2318	2571	3877	4	14	15	17
subj_21_kiggif_52_Post	I	196	412	2141	2534	3738	4	13	14	17
subj_21_kiggif_AF2_23	I	258	340	2368	2782	3769	4	14	15	17
subj_21_kiggif_AF2_32	I	213	418	2117	2983	3814	4	13	16	17
subj_21_kiggif_AF2_53	I	222	433	2185	2698	3693	4	13	15	17
subj_21_kiggif_MN1_15	I	282	560	2131	2829	3714	5	13	15	17
subj_21_kiggif_MN1_39	I	295	596	2096	2777	3789	6	13	15	17
subj_21_kiggif_MN1_7	I	307	516	2140	2863	3787	5	13	15	17
subj_21_kiggif_Pre_11	I	255	479	2271	2930	3777	5	14	15	17
subj_21_kiggif_Pre_12	I	254	466	2165	2819	3666	5	13	15	17
subj_21_kiggif_Pre_3	I	270	358	2372	2925	3826	4	14	15	17
subj_21_piffif_14_Post	I	240	474	2138	2887	4096	5	13	15	18
subj_21_piffif_43_Post	I	218	427	1949	2527	3694	4	13	14	17
subj_21_piffif_AF2_51	I	249	496	1994	2790	3919	5	13	15	17
subj_21_piffif_AF2_6	I	243	477	2057	2762	3819	5	13	15	17
subj_21_piffif_AF2_9	I	271	443	2067	2874	4301	4	13	15	18
subj_21_piffif_MN1_1	I	320	639	2052	2854	3811	6	13	15	17
subj_21_piffif_MN1_24	I	255	515	2170	2859	3679	5	13	15	17
subj_21_piffif_MN1_50	I	234	471	2095	2903	3764	5	13	15	17
subj_21_piffif_Pre_20	I	278	413	2202	2978	4259	4	14	16	18
subj_21_piffif_Pre_27	I	252	493	1984	2786	3834	5	13	15	17
subj_21_piffif_Pre_29	I	275	355	1993	2777	4112	4	13	15	18
subj_21_tissif_13_Post	I	293	427	2011	3048	4533	4	13	16	18
subj_21_tissif_2_Post	I	287	418	2050	2973	4146	4	13	16	18
subj_21_tissif_40_Post	I	295	407	2056	2949	4177	4	13	16	18
subj_21_tissif_AF2_1	I	233	452	2099	2876	4001	5	13	15	18
subj_21_tissif_AF2_38	I	257	342	2041	2991	4143	4	13	16	18
subj_21_tissif_AF2_46	I	299	373	2056	3022	4259	4	13	16	18
subj_21_tissif_MN1_19	I	291	516	2021	2893	3863	5	13	15	17
subj_21_tissif_MN1_43	I	301	527	1952	2979	3935	5	13	16	17
subj_21_tissif_MN1_49	I	331	559	2029	2909	4321	5	13	15	18
subj_21_tissif_Pre_19	I	251	468	1996	2825	3971	5	13	15	18
subj_21_tissif_Pre_40	I	259	382	2133	2921	4149	4	13	15	18
subj_22_kiggif_22_Post	I	221	338	2634	3392	4365	3	15	16	18
subj_22_kiggif_26_Post	I	232	401	2539	3168	4252	4	15	16	18
subj_22_kiggif_43_Post	I	232	364	2555	3288	4271	4	15	16	18
subj_22_kiggif_AF2_31	I	233	379	1217	2705	3392	4	10	15	16
