"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F1Bark","F2Bark","gender","BB","AF","F1erb","F2erb"
"170","subj_19_kiggif_Pre_8","19","kiggif","1",8,"I",230,423,2426,4,14,"F","BB","AF",9.23556773662135,23.9253744357405
"171","subj_19_piffif_17_Post","19","piffif","4",17,"I",233,430,2080,4,13,"F","BB","AF",9.33626938884965,22.4111550780077
"172","subj_19_piffif_36_Post","19","piffif","4",36,"I",229,434,2044,4,13,"F","BB","AF",9.39336670613998,22.2388102369614
"173","subj_19_piffif_8_Post","19","piffif","4",8,"I",222,427,2102,4,13,"F","BB","AF",9.293234076448,22.5156375859706
"174","subj_19_piffif_AF2_23","19","piffif","2",23,"I",252,497,1505,5,11,"F","BB","AF",10.2524922824796,19.2906212829215
"175","subj_19_piffif_AF2_35","19","piffif","2",35,"I",234,438,1438,4,11,"F","BB","AF",9.45014366037587,18.9144607609009
"176","subj_19_piffif_AF2_41","19","piffif","2",41,"I",253,498,1479,5,11,"F","BB","AF",10.2655549675383,19.1288958421219
"177","subj_19_piffif_Pre_21","19","piffif","1",21,"I",227,427,2071,4,13,"F","BB","AF",9.293234076448,22.3712661786495
"178","subj_19_piffif_Pre_32","19","piffif","1",32,"I",223,423,2076,4,13,"F","BB","AF",9.23556773662135,22.3976364307185
"179","subj_19_piffif_Pre_6","19","piffif","1",6,"I",234,429,2170,4,13,"F","BB","AF",9.32194459722326,22.824456630256
"180","subj_19_tissif_1_Post","19","tissif","4",1,"I",235,453,2121,5,13,"F","BB","AF",9.66026168660832,22.5840020516579
"181","subj_19_tissif_31_Post","19","tissif","4",31,"I",221,423,2017,4,13,"F","BB","AF",9.23556773662135,22.1181942550221
"182","subj_19_tissif_6_Post","19","tissif","4",6,"I",240,470,1988,5,13,"F","BB","AF",9.89322504371908,21.9435289612435
"183","subj_19_tissif_AF2_17","19","tissif","2",17,"I",229,448,1417,5,11,"F","BB","AF",9.59070674226307,18.7722239276036
"184","subj_19_tissif_AF2_38","19","tissif","2",38,"I",254,495,1490,5,11,"F","BB","AF",10.2263158146629,19.1994981744273
"185","subj_19_tissif_AF2_52","19","tissif","2",52,"I",217,439,1498,4,11,"F","BB","AF",9.46428824372654,19.2902744415039
"186","subj_19_tissif_Pre_16","19","tissif","1",16,"I",226,416,2040,4,13,"F","BB","AF",9.13385528602651,22.2331405994064
"187","subj_19_tissif_Pre_20","19","tissif","1",20,"I",227,437,1999,4,13,"F","BB","AF",9.43597926810227,22.0211805889798
"188","subj_19_tissif_Pre_52","19","tissif","1",52,"I",230,430,2035,4,13,"F","BB","AF",9.33626938884965,22.1990153403259
"189","subj_1_kiggif_28_Post","1","kiggif","4",28,"I",255,342,2488,4,14,"F","NB","MN",7.99139123878957,24.2355574791567
"190","subj_1_kiggif_35_Post","1","kiggif","4",35,"I",266,292,2400,3,14,"F","NB","MN",7.14024672993023,23.9161061590017
"191","subj_1_kiggif_48_Post","1","kiggif","4",48,"I",261,390,2344,4,14,"F","NB","MN",8.74688349556687,23.6101669959595
"192","subj_1_kiggif_MN1_43","1","kiggif","2",43,"I",289,495,2273,5,14,"F","NB","MN",10.2263158146629,23.2299508302357
"193","subj_1_kiggif_MN1_52","1","kiggif","2",52,"I",274,510,2218,5,14,"F","NB","MN",10.4209949200393,22.9786907850916
"194","subj_1_kiggif_Pre_17","1","kiggif","1",17,"I",249,468,2436,5,14,"F","NB","MN",9.866095359494,23.9328643344606
"195","subj_1_kiggif_Pre_3","1","kiggif","1",3,"I",256,360,2371,4,14,"F","NB","MN",8.28129142952579,23.7454025651364
"196","subj_1_kiggif_Pre_37","1","kiggif","1",37,"I",253,441,2424,4,14,"F","NB","MN",9.4925181948163,23.9039075538446
"197","subj_1_piffif_29_Post","1","piffif","4",29,"I",267,425,2139,4,13,"F","NB","MN",9.26444193777686,22.687023136031
"198","subj_1_piffif_34_Post","1","piffif","4",34,"I",261,406,2061,4,13,"F","NB","MN",8.98675942684902,22.3398319049678
"199","subj_1_piffif_49_Post","1","piffif","4",49,"I",253,439,1953,4,13,"F","NB","MN",9.46428824372654,21.7951236370555
"200","subj_1_piffif_MN1_30","1","piffif","2",30,"I",283,577,1948,6,13,"F","NB","MN",11.2470805686158,21.6689458785405
"201","subj_1_piffif_MN1_38","1","piffif","2",38,"I",272,545,1995,5,13,"F","NB","MN",10.8610485366398,21.9223123797035
"202","subj_1_piffif_MN1_6","1","piffif","2",6,"I",273,521,1959,5,13,"F","NB","MN",10.5613945434149,21.7642555657304
"203","subj_1_piffif_Pre_11","1","piffif","1",11,"I",252,479,1974,5,13,"F","NB","MN",10.0144122184313,21.8686962099092
