fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_60_piffif_AF2_4	I	215	324	1071	3	9
subj_60_piffif_MN1_11	I	315	491	1207	5	10
subj_60_piffif_MN1_23	I	311	421	1241	4	10
subj_60_piffif_MN1_52	I	362	452	1193	5	10
subj_60_piffif_Pre_1	I	167	326	1732	3	12
subj_60_piffif_Pre_14	I	165	317	1757	3	12
subj_60_piffif_Pre_24	I	164	306	1698	3	12
subj_60_tissif_15_Post	I	151	283	1772	3	12
subj_60_tissif_6_Post	I	172	330	1797	3	12
subj_60_tissif_7_Post	I	163	323	1788	3	12
subj_60_tissif_AF2_12	I	216	408	890	4	8
subj_60_tissif_AF2_20	I	246	291	806	3	7
subj_60_tissif_AF2_33	I	222	392	883	4	8
subj_60_tissif_MN1_2	I	318	469	1282	5	10
subj_60_tissif_MN1_7	I	320	526	947	5	8
subj_60_tissif_MN1_8	I	332	407	1338	4	10
subj_60_tissif_Pre_42	I	172	329	1797	3	12
subj_60_tissif_Pre_49	I	176	317	1743	3	12
subj_60_tissif_Pre_8	I	155	282	1677	3	12
