"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"117","subj_15_kiggif_Pre_13",15,"kiggif","Pre","13","I","302",543,2398,2979,4201,5,14,16,18,"F","BB"
"118","subj_15_kiggif_Pre_22",15,"kiggif","Pre","22","I","295",600,2349,2912,4070,6,14,15,18,"F","BB"
"119","subj_15_piffif_15_Post",15,"piffif","Post","15","I","200",475,2032,2806,4185,5,13,15,18,"F","BB"
"120","subj_15_piffif_20_Post",15,"piffif","Post","20","I","194",512,2113,2844,4231,5,13,15,18,"F","BB"
"121","subj_15_piffif_46_Post",15,"piffif","Post","46","I","193",517,2002,2787,4037,5,13,15,18,"F","BB"
"122","subj_15_piffif_AF2_20",15,"piffif","AF1","20","I","263",552,1453,2466,3087,5,11,14,16,"F","BB"
"123","subj_15_piffif_AF2_39",15,"piffif","AF1","39","I","207",513,1344,2918,3782,5,10,15,17,"F","BB"
"124","subj_15_piffif_AF2_48",15,"piffif","AF1","48","I","215",652,1483,2798,3289,6,11,15,16,"F","BB"
"125","subj_15_piffif_MN1_0",15,"piffif","MN2","0","I","240",672,1740,2780,3073,6,12,15,16,"F","BB"
"126","subj_15_piffif_MN1_24",15,"piffif","MN2","24","I","265",830,2015,3376,4188,7,13,16,18,"F","BB"
"127","subj_15_piffif_MN1_46",15,"piffif","MN2","46","I","211",423,1596,2712,4075,4,11,15,18,"F","BB"
"128","subj_15_piffif_Pre_0",15,"piffif","Pre","0","I","292",584,2143,2873,3548,6,13,15,17,"F","BB"
"129","subj_15_piffif_Pre_31",15,"piffif","Pre","31","I","261",495,1964,2801,4242,5,13,15,18,"F","BB"
"130","subj_15_piffif_Pre_42",15,"piffif","Pre","42","I","255",522,1902,2841,4274,5,13,15,18,"F","BB"
"131","subj_15_tissif_1_Post",15,"tissif","Post","1","I","183",433,2233,3015,4190,4,14,16,18,"F","BB"
"132","subj_15_tissif_50_Post",15,"tissif","Post","50","I","198",423,2077,2980,4278,4,13,16,18,"F","BB"
"133","subj_15_tissif_7_Post",15,"tissif","Post","7","I","171",381,2145,2997,4233,4,13,16,18,"F","BB"
"134","subj_15_tissif_AF2_10",15,"tissif","AF1","10","I","220",695,1532,2643,3025,7,11,15,16,"F","BB"
"135","subj_15_tissif_AF2_14",15,"tissif","AF1","14","I","227",685,1493,2806,2895,6,11,15,15,"F","BB"
"136","subj_15_tissif_AF2_22",15,"tissif","AF1","22","I","252",664,1501,2657,3104,6,11,15,16,"F","BB"
